longitude,latitude,id,name,start_date,operator:decription,education:type,education:type,education:type,education:type,education:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,government:registered,government:registered,government:registered,government:registered,education:gender_type,education:operate_as,education:exam_center,education:exam_affiliate,,education:students,education:students_male,education:students_female,education:teachers_male,education:teachers_female,education:fees,education:fees,education:fees,education:fees,education:sponsored_by,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:fees_per_term,education:fees_level1,education:fees_level2,education:fees_level3,education:fees_level4,education:fees_other,building:material,building:material,building:material,accessibility,accessibility,accessibility,education:program_feeding,education:program_feeding_description,education:program_feeding_description,education:program_feeding_description,toilet:teachers,toilet:teachers,toilets:female,toilets:male,toilet:present,building:classrooms,building:library,internet_access,electricity:operational_status,waste:garbage_disposal,laboratory,laboratory:equipment,laboratory,barrier:gate,barrier:security_fence,playground,room:staff,room:kitchen,education:teachers_male,education:teachers_female,education:teachers_trained,education:tsc_employed,education:extra_sports,education:extra_drama,education:extra_woodwork,education:extra_scouts/girl_guide,education:extra_music,education:extra_nature_club,education:extra_agriculture_club,education:extra_other,education:pta,education:management_committee,education:board_of_management,education:other
36.862416,-1.261238,1,Why not Junior Academy,2006,n/a,n,y,n,y,n,n,n,n,n,n,y,n,n/a,n/a,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,n,Kaso upendo neighbouring school,n/a,250,n/a,n/a,4,4,y,n,n,n/a,n/a,n,n,n,n,n,n,y,n/a,2100,2100,2100,2100,2100,n/a,n,y,n/a,n,n,y,y,y,1000,n,1,1,2,1,inside school compound,11,n,n/a,sometimes,sometimes,n,n,n,n,y,y,y,y,4,6,2,n/a,y,y,n,y,y,n,y,n/a,y,n,y,n/a
36.870436,-1.252923,2,St Maurus,more than 15 years,n/a,y,y,n,y,n,n,n,n,n,y,n,n,n/a,n/a,private,n/a,faith based,Mixed boys and girls,Day scholars only,y,n/a,n/a,n/a,60,150,6,7,y,n,n,n/a,n/a,n,n,n,n,n,n,n,church,n/a,1550,2500,3600,n/a,n/a,y,n,n/a,y,y,y,y,y,1500,I don't know,1,1,2,2,inside school compound,n/a,y,n,sometimes,always,n,n,n,y,y,y,y,y,6,8,14,n/a,y,y,n,n,n,n,n,n/a,n,n,y,n/a
36.869884,-1.252057,3,Amson Education Center,2008,n/a,n,y,n,n,n,n,y,n,n,n,n,n,n/a,n/a,provisional APBET certificate,city council,n/a,n/a,Day scholars only,y,n/a,2016,n/a,145,125,3,12,y,n,n,n/a,n/a,n,y,n,n,n,n,n,n/a,n/a,3000,3000,3600,n/a,n/a,y,n,n/a,y,y,y,y,y,1500,n,1,1,1,1,inside school compound,8,n,n,always,always,n,n,n,y,y,n,y,y,3,12,7,0,y,y,n,y,y,n,n,n/a,n,n,y,n/a
36.866514,-1.256139,4,Mawewa School,n/a,Edu Kenya,n,y,n,n,n,n,y,n,n,n,y,n,n/a,government registered,private,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,n/a,n/a,87,85,6,5,n,n,y,n/a,Edu Kenya,y,y,y,y,y,y,y,n/a,191000,900,900,1500,n/a,n/a,y,n,n/a,y,y,y,y,n,free food,n,1,1,3,3,inside school compound,8,y,n,often,often,n,n,y,y,y,n,y,y,6,5,11,0,y,y,n,y,y,n,y,n/a,y,n,y,n/a
36.870462,-1.253484,5,New mercy care secondary school,2010,n/a,n,n,y,n,n,n,y,n,n,n,n,n,n/a,n/a,private,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,n/a,n/a,110,40,4,3,y,n,n,n/a,n/a,n,n,y,n,n,n,n,n/a,4500,n/a,n/a,n/a,10500 per year,n/a,n,y,n/a,y,y,y,y,y,600,n,1,1,1,1,inside school compound,4,n,n,sometimes,always,y,y,n,y,n,n,y,y,4,3,7,0,y,y,n,n,y,n,n,n/a,n,n,y,n/a
36.87106,-1.253509,6,New mercy care primary school,2007,n/a,n,y,n,n,n,n,y,n,n,n,n,n,n/a,n/a,private,Min. of gender,CBO/NGO,Mixed boys and girls,Day scholars only,n,to other schools,n/a,n/a,75,105,3,6,y,n,n,n/a,n/a,n,n,y,n,n,n,n,n/a,2500,2500,3000,3500,n/a,n/a,y,n,n/a,y,y,y,y,y,600,n/a,1,1,1,1,inside school compound,n/a,n,n,sometimes,sometimes,n,n,n,y,n,n,y,y,3,6,9,0,y,y,n,n,y,n,n,n/a,n,y,y,n/a
36.873813,-1.251946,7,Star of hope secondary school,1988,Jimmy Muraya (owner),n,n,y,n,n,n,y,n,n,n,n,n,n/a,government registered,n/a,city council,n/a,Mixed boys and girls,mixed (both day and boarding students),y,n/a,n/a,n/a,85,104,6,5,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,2000-3000,n/a,n/a,n/a,8000,n/a,y,y,n/a,y,y,y,y,n,1800,y,5,5,6,6,inside school compound,n/a,n,n/a,always,always,y,y,y,y,y,y,y,y,6,5,n/a,0,y,y,n,y,n,n,n,n/a,n,n,y,n/a
36.875104,-1.310189,8,Ruaraka presbyterian school,2010,Church (PCEA),y,n,n,n,n,n,n,n,n,y,n,n,n/a,government registered,private,n/a,n/a,Mixed boys and girls,Day scholars only,n,n/a,n/a,n/a,143,261,4,6,y,n,n,n/a,n/a,n,n,n,n,n,n,n,church members,2000-3000,3900,3300,5200,n/a,n/a,n,y,n/a,y,y,y,y,y,1200,n,4,3,4,3,inside school compound,14,n,n/a,always,always,n,n,n,y,y,y,y,y,4,6,5,0,y,y,n,y,y,n,n,n/a,n,n,y,n/a
36.866321,-1.259522,9,Sancare preparatory school,2012,director,n,y,n,n,n,n,y,n,n,n,n,n,n/a,n/a,APBET,n/a,n/a,boys school,Day scholars only,y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,y,n,n,n/a,n/a,n,n,n,n,n,n,n,donor,3550,n/a,n/a,n/a,n/a,n/a,n,y,n/a,y,n,y,y,n,2400,n,1,1,3,3,n/a,38,y,y,sometimes,often,n,n,n,y,y,n,y,n,n/a,n/a,21,3,y,y,n,y,y,y,y,n/a,n,n,y,n/a
36.868491,-1.259937,10,Eden annex preparatory school,2000,individual school owner,y,n,n,n,n,n,y,n,n,n,n,n,n/a,government registered,n/a,n/a,n/a,Mixed boys and girls,Day scholars only,n,n/a,n/a,167,n/a,n/a,n/a,7,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,5000,n/a,n/a,n/a,n/a,n/a,y,n,n/a,n,n,y,y,n,3500,n/a,2,2,1,1,inside school compound,3,n/a,n/a,always,always,n,n,n,y,n,y,y,y,n/a,n/a,n/a,n/a,y,n,n,n,n,n,n,n/a,n/a,n/a,n/a,n/a
